HOUSEID WTHHFIN HHVEHCNT HHFAMINC NUMADLT WRKCOUNT DRVRCNT HOMEOWN URBRUR URSIZE D_PT HHR_AGE HHR_SEX HHR_EDUC HBRESDN HBPPOPDN HBHTNRNT HTRESDN HTHTNRNT HTPPOPDN HTEEMPDN TOTANNMI TOTBESTM GSCOST AVGGSCST GSTOTCST GSTOTEST zero logsum1 logsum2 logsum3 logsum4 const MILES LOG_MILES MILES_LOWER GSTTOTCST_1000 GSTTOTEST_1000 GSTOTCST_1000 GSTOTEST_1000 HTRESDN_1000 COST_PER_MILE MEAN_COST MILES_10k logsum
20727921 2945.1022 0 6 1 1 0 0 1 6 0 61 0 4 30000 30000 70 30000 70 30000 5000 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 30 0 0 0 0
21142642 93.4619 0 2 1 0 1 1 1 1 0 40 1 3 1500 3000 50 1500 50 3000 3000 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 1.5 0 0 0 0
23085033 2898.6829 0 14 2 1 2 1 1 2 0 73 1 2 750 3000 30 1500 40 3000 3000 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 1.5 0 0 0 0
23714249 12711.1577 0 1 1 0 0 0 1 2 0 61 1 1 7000 17000 70 7000 70 17000 5000 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 7 0 0 0 0
24322324 511.0812 0 4 1 0 1 0 1 6 0 58 0 3 7000 17000 60 7000 60 7000 1500 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 7 0 0 0 0
24503365 2056.3575 0 4 1 1 1 0 1 6 1 34 1 5 7000 17000 20 3000 20 7000 750 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 3 0 0 0 0
24913973 203.1399 0 1 1 0 0 0 1 2 0 54 1 3 1500 3000 50 1500 70 3000 5000 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 1.5 0 0 0 0
25473933 1576.2112 0 18 2 2 2 1 1 6 0 64 1 5 3000 7000 30 7000 50 7000 5000 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 7 0 0 0 0
25548091 193.9702 0 4 1 0 0 1 1 6 0 84 1 4 7000 7000 60 7000 50 17000 3000 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 7 0 0 0 0
25615498 166.4287 0 3 2 0 0 1 1 6 0 50 1 1 17000 17000 70 7000 70 7000 5000 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 7 0 0 0 0
26233778 59.4225 0 1 1 0 0 1 1 2 0 52 0 2 750 3000 5 750 20 3000 150 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 0.75 0 0 0 0
26528241 52.7363 0 3 1 0 0 1 0 1 0 67 1 1 50 300 5 300 50 300 150 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 0.3 0 0 0 0
26967804 381.6473 0 3 1 0 0 1 1 6 0 81 1 2 7000 17000 80 7000 80 17000 1500 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 7 0 0 0 0
27189676 105.6367 0 18 3 0 3 1 1 6 1 63 1 4 17000 17000 60 7000 60 17000 5000 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 7 0 0 0 0
27623200 697.0713 0 1 1 0 0 0 1 6 0 92 1 1 1500 7000 40 1500 30 3000 3000 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 1.5 0 0 0 0
27636853 3695.9005 0 10 1 1 1 0 1 6 1 55 0 3 17000 30000 70 17000 70 30000 5000 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 17 0 0 0 0
27693100 2788.8469 0 3 1 1 1 0 1 6 0 33 1 2 7000 17000 40 7000 50 17000 3000 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 7 0 0 0 0
27829178 3219.1302 0 5 3 2 3 1 1 6 0 60 0 2 3000 7000 5 3000 5 7000 1500 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 3 0 0 0 0
28518291 170.9423 0 2 2 1 2 1 1 6 1 45 1 3 7000 17000 60 7000 50 7000 1500 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 7 0 0 0 0
28735995 412.6624 0 6 1 0 1 1 1 6 1 84 1 5 17000 30000 70 3000 60 17000 5000 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 3 0 0 0 0
29907119 4024.9894 0 1 1 1 0 0 1 6 0 43 1 2 17000 17000 70 3000 80 7000 5000 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 3 0 0 0 0
31007731 1079.2584 0 7 1 1 0 1 1 6 0 20 1 3 17000 17000 40 7000 50 7000 1500 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 7 0 0 0 0
31032564 256.916 0 17 1 0 1 1 1 6 0 77 1 4 30000 30000 80 17000 70 30000 5000 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 17 0 0 0 0
31087210 3854.1371 0 13 1 0 1 0 1 6 1 49 1 2 7000 7000 90 7000 70 17000 1500 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 7 0 0 0 0
31708195 477.222 0 9 1 0 2 0 1 6 1 50 1 1 17000 30000 70 7000 70 17000 5000 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 7 0 0 0 0
32344750 3804.8975 0 7 2 1 2 0 1 6 0 54 0 5 7000 17000 40 7000 50 17000 3000 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 7 0 0 0 0
32430411 831.8286 0 2 1 0 0 0 1 6 0 60 1 1 17000 30000 80 7000 80 7000 350 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 7 0 0 0 0
32818505 394.782 0 3 1 0 0 0 1 6 0 59 1 2 17000 30000 70 7000 60 17000 3000 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 7 0 0 0 0
33209436 537.2363 0 3 1 0 0 1 1 6 0 68 1 3 7000 17000 90 7000 50 17000 3000 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 7 0 0 0 0
33861432 2330.7311 0 5 1 0 0 1 1 5 0 87 1 2 7000 7000 70 3000 60 7000 5000 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 3 0 0 0 0
34715484 1490.5317 0 4 2 1 1 0 1 6 1 55 1 2 3000 7000 80 3000 80 7000 1500 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 3 0 0 0 0
35793313 698.2903 0 8 1 0 1 1 1 6 0 78 1 5 17000 30000 70 17000 60 17000 5000 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 17 0 0 0 0
