                                   name beta_hat    SD        t     p
1  zero_logsum1_logsum2_logsum3_logsum4    0.514 0.018   28.708 0.000
2                                 const   -2.948 0.217  -13.562 0.000
3                              HHFAMINC   -0.101 0.020   -5.032 0.000
4                               DRVRCNT   -0.304 0.236   -1.289 0.197
5                                URSIZE   -0.109 0.058   -1.888 0.059
6                               HHR_SEX   -0.063 0.249   -0.253 0.800
7                          HTRESDN_1000    0.101 0.015    6.744 0.000
8                                 const  -21.889 0.284  -77.063 0.000
9                              HHFAMINC    0.692 0.072    9.562 0.000
10                              DRVRCNT    9.236 0.214   43.090 0.000
11                               URSIZE   -0.270 0.178   -1.518 0.129
12                              HHR_SEX   -3.434 0.213  -16.136 0.000
13                         HTRESDN_1000   -1.112 0.159   -6.999 0.000
14                                const  -28.931 0.257 -112.762 0.000
15                             HHFAMINC    0.745 0.077    9.671 0.000
16                              DRVRCNT   10.167 0.190   53.461 0.000
17                               URSIZE   -0.354 0.186   -1.902 0.057
18                              HHR_SEX   -3.605 0.211  -17.056 0.000
19                         HTRESDN_1000   -1.298 0.181   -7.179 0.000
20                                const  -35.658 0.245 -145.291 0.000
21                             HHFAMINC    0.693 0.074    9.335 0.000
22                              DRVRCNT   10.120 0.165   61.291 0.000
23                               URSIZE   -0.406 0.183   -2.212 0.027
24                              HHR_SEX   -3.667 0.194  -18.904 0.000
25                         HTRESDN_1000   -1.262 0.170   -7.433 0.000
26                                const    1.385 0.116   11.931 0.000
27                             HHFAMINC    0.128 0.007   18.059 0.000
28                              HOMEOWN    0.328 0.098    3.337 0.001
29                              HHR_SEX   -0.095 0.061   -1.561 0.119
30                         HTRESDN_1000   -0.118 0.009  -13.084 0.000
31                            MEAN_COST   -4.670 0.285  -16.397 0.000
maxLL  :  -3288.934 
[1] "Variance of difference (with first alt) of error terms:"
            [,1]       [,2]       [,3]       [,4]       [,5]
[1,]   2.0000000 -10.342361 -10.236173 -10.566991 -0.7306882
[2,] -10.3423606  58.256140  61.439104  61.574524  4.4606677
[3,] -10.2361730  61.439104  68.639311  67.107301  5.2127594
[4,] -10.5669906  61.574524  67.107301  66.335286  5.0007630
[5,]  -0.7306882   4.460668   5.212759   5.000763  1.2518158
result_dc4_2009
                                   name beta_hat    SD        t     p
1  zero_logsum1_logsum2_logsum3_logsum4    0.514 0.018   28.708 0.000
2                                 const   -2.948 0.217  -13.562 0.000
3                              HHFAMINC   -0.101 0.020   -5.032 0.000
4                               DRVRCNT   -0.304 0.236   -1.289 0.197
5                                URSIZE   -0.109 0.058   -1.888 0.059
6                               HHR_SEX   -0.063 0.249   -0.253 0.800
7                          HTRESDN_1000    0.101 0.015    6.744 0.000
8                                 const  -21.889 0.284  -77.063 0.000
9                              HHFAMINC    0.692 0.072    9.562 0.000
10                              DRVRCNT    9.236 0.214   43.090 0.000
11                               URSIZE   -0.270 0.178   -1.518 0.129
12                              HHR_SEX   -3.434 0.213  -16.136 0.000
13                         HTRESDN_1000   -1.112 0.159   -6.999 0.000
14                                const  -28.931 0.257 -112.762 0.000
15                             HHFAMINC    0.745 0.077    9.671 0.000
16                              DRVRCNT   10.167 0.190   53.461 0.000
17                               URSIZE   -0.354 0.186   -1.902 0.057
18                              HHR_SEX   -3.605 0.211  -17.056 0.000
19                         HTRESDN_1000   -1.298 0.181   -7.179 0.000
20                                const  -35.658 0.245 -145.291 0.000
21                             HHFAMINC    0.693 0.074    9.335 0.000
22                              DRVRCNT   10.120 0.165   61.291 0.000
23                               URSIZE   -0.406 0.183   -2.212 0.027
24                              HHR_SEX   -3.667 0.194  -18.904 0.000
25                         HTRESDN_1000   -1.262 0.170   -7.433 0.000
26                                const    1.385 0.116   11.931 0.000
27                             HHFAMINC    0.128 0.007   18.059 0.000
28                              HOMEOWN    0.328 0.098    3.337 0.001
29                              HHR_SEX   -0.095 0.061   -1.561 0.119
30                         HTRESDN_1000   -0.118 0.009  -13.084 0.000
31                            MEAN_COST   -4.670 0.285  -16.397 0.000
32                                 L_21   -7.313 0.261  -27.997 0.000
33                                 L_22    2.185 0.186   11.739 0.000
34                                 L_31   -7.238 0.251  -28.830 0.000
35                                 L_32    3.893 0.190   20.463 0.000
36                                 L_33    1.046 0.210    4.990 0.000
37                                 L_41   -7.472 0.188  -39.842 0.000
38                                 L_42    3.172 0.167   18.952 0.000
39                                 L_43    0.646 0.144    4.494 0.000
40                                 L_44    0.160 0.055    2.915 0.004
41                                 L_51   -0.517 0.071   -7.314 0.000
42                                 L_52    0.312 0.074    4.229 0.000
43                                 L_53    0.246 0.072    3.444 0.001
44                                 L_54   -0.058 0.068   -0.858 0.391
45                                 L_55    0.907 0.051   17.659 0.000
maxLL  :  -3288.934 

